CURR_TIME,STATUS,Status code,Longitude,Latitude
2015-Mar-02 14:00:01,surfaced,1,-88.399768,28.775904
2015-Mar-02 14:10:00,surfaced,1,-88.380928,28.754574
2015-Mar-02 14:10:00,water column,0,-88.367532,28.738205
2015-Mar-02 14:10:00,water column,0,-88.368392,28.738138
2015-Mar-02 14:10:00,water column,0,-88.370256,28.738172
2015-Mar-02 14:10:00,water column,0,-88.370981,28.737679
2015-Mar-02 15:10:00,surfaced,1,-88.537942,28.840916
2015-Mar-02 15:10:00,water column,0,-88.331433,28.732236
2015-Mar-02 15:10:00,water column,0,-88.359462,28.735603
2015-Mar-02 15:10:00,water column,0,-88.344771,28.73578
2015-Mar-02 15:10:00,surfaced,1,-88.468424,28.799333
2015-Mar-02 15:10:00,surfaced,1,-88.502541,28.820448
2015-Mar-02 15:10:00,surfaced,1,-88.512071,28.826924
2015-Mar-02 15:10:00,surfaced,1,-88.516098,28.829043
2015-Mar-02 15:10:00,surfaced,1,-88.522295,28.83188
2015-Mar-02 15:10:00,surfaced,1,-88.526638,28.833556
2015-Mar-02 15:00:02,surfaced,1,-88.539647,28.835406
2015-Mar-02 15:10:00,surfaced,1,-88.520262,28.831614
2015-Mar-02 15:10:00,water column,0,-88.339169,28.729041
2015-Mar-02 15:10:00,water column,0,-88.3505,28.732388
2015-Mar-02 15:10:00,water column,0,-88.342875,28.730108
2015-Mar-02 15:10:00,surfaced,1,-88.399215,28.76968
2015-Mar-02 15:10:00,surfaced,1,-88.438098,28.784651
2015-Mar-02 15:10:00,surfaced,1,-88.461391,28.793242
2015-Mar-02 15:10:00,surfaced,1,-88.471564,28.799697
2015-Mar-02 15:10:00,surfaced,1,-88.487533,28.810343
2015-Mar-02 15:10:00,surfaced,1,-88.499761,28.818411
2015-Mar-02 15:00:01,surfaced,1,-88.522068,28.835433
2015-Mar-02 15:00:02,surfaced,1,-88.520316,28.834254
2015-Mar-02 15:00:02,surfaced,1,-88.485688,28.809212
2015-Mar-02 15:00:02,water column,0,-88.350696,28.727922
2015-Mar-02 15:00:02,water column,0,-88.351821,28.728949
2015-Mar-02 15:00:02,water column,0,-88.350703,28.728083
2015-Mar-02 15:00:02,surfaced,1,-88.368979,28.743661
2015-Mar-02 15:00:02,surfaced,1,-88.387013,28.763888
2015-Mar-02 15:00:02,surfaced,1,-88.401854,28.767577
2015-Mar-02 15:00:02,surfaced,1,-88.411644,28.772241
2015-Mar-02 15:00:02,surfaced,1,-88.427705,28.780187
2015-Mar-02 15:00:02,surfaced,1,-88.440319,28.784806
2015-Mar-02 15:00:01,surfaced,1,-88.475606,28.812494
2015-Mar-02 15:00:02,surfaced,1,-88.429746,28.78145
2015-Mar-02 15:00:02,water column,0,-88.359053,28.731377
2015-Mar-02 15:00:02,water column,0,-88.367289,28.731404
2015-Mar-02 15:00:02,water column,0,-88.368308,28.735545
2015-Mar-02 15:00:02,surfaced,1,-88.37494,28.745445
2015-Mar-02 15:00:02,surfaced,1,-88.378422,28.749471
2015-Mar-02 15:00:02,surfaced,1,-88.385223,28.758393
2015-Mar-02 15:00:02,surfaced,1,-88.393305,28.765106
2015-Mar-02 15:00:01,surfaced,1,-88.409448,28.786291
2015-Mar-02 15:10:00,surfaced,1,-88.388046,28.762878
2015-Mar-02 15:10:00,water column,0,-88.366265,28.736713
2015-Mar-02 15:10:00,water column,0,-88.366678,28.736811
2015-Mar-02 15:10:00,water column,0,-88.367304,28.736971
2015-Mar-02 15:10:00,water column,0,-88.368801,28.737131
2015-Mar-02 15:10:00,water column,0,-88.370236,28.736503
2015-Mar-02 15:10:00,water column,0,-88.37174,28.73724
2015-Mar-02 15:10:00,surfaced,1,-88.373245,28.74132
2015-Mar-02 16:10:00,surfaced,1,-88.538231,28.853007
2015-Mar-02 16:10:00,water column,0,-88.331648,28.731551
2015-Mar-02 16:10:00,water column,0,-88.363039,28.733531
2015-Mar-02 16:10:00,water column,0,-88.346636,28.734964
2015-Mar-02 16:10:00,surfaced,1,-88.473164,28.814368
2015-Mar-02 16:10:00,surfaced,1,-88.505027,28.834932
2015-Mar-02 16:10:00,surfaced,1,-88.515152,28.841927
2015-Mar-02 16:10:00,surfaced,1,-88.519374,28.844219
2015-Mar-02 16:10:00,surfaced,1,-88.525764,28.84723
2015-Mar-02 16:10:00,surfaced,1,-88.530102,28.848905
2015-Mar-02 16:00:02,surfaced,1,-88.539917,28.847474
2015-Mar-02 16:10:00,surfaced,1,-88.523735,28.846967
2015-Mar-02 16:10:00,water column,0,-88.340463,28.728375
2015-Mar-02 16:10:00,water column,0,-88.352859,28.73209
2015-Mar-02 16:10:00,water column,0,-88.34406,28.729104
2015-Mar-02 16:10:00,surfaced,1,-88.400218,28.776822
2015-Mar-02 16:10:00,surfaced,1,-88.442077,28.797118
2015-Mar-02 16:10:00,surfaced,1,-88.465464,28.805882
2015-Mar-02 16:10:00,surfaced,1,-88.476293,28.814738
2015-Mar-02 16:10:00,surfaced,1,-88.492296,28.82542
2015-Mar-02 16:10:00,surfaced,1,-88.502878,28.832987
2015-Mar-02 16:00:01,surfaced,1,-88.525548,28.850795
