Current Time,Status,Status code,Longitude,Latitude
2015-Mar-02 20:10:00,water column,0,-88.376022,28.736494
2015-Mar-02 20:10:00,surfaced,1,-88.371489,28.738543
2015-Mar-02 20:10:00,surfaced,1,-88.370061,28.739541
2015-Mar-02 20:10:00,surfaced,1,-88.366696,28.746647
2015-Mar-02 20:10:00,surfaced,1,-88.365501,28.756098
2015-Mar-02 20:10:00,surfaced,1,-88.364123,28.753511
2015-Mar-02 20:10:00,water column,0,-88.370118,28.741925
2015-Mar-02 20:10:00,water column,0,-88.370947,28.741441
2015-Mar-02 20:10:00,water column,0,-88.372159,28.740881
2015-Mar-02 20:10:00,water column,0,-88.374129,28.74012
2015-Mar-02 20:10:00,water column,0,-88.373816,28.739348
2015-Mar-02 22:10:00,surfaced,1,-88.532768,28.919483
2015-Mar-02 22:10:00,water column,0,-88.336248,28.734053
2015-Mar-02 22:10:00,water column,0,-88.377301,28.725366
2015-Mar-02 22:10:00,water column,0,-88.363321,28.733342
2015-Mar-02 22:10:00,surfaced,1,-88.482947,28.891792
2015-Mar-02 22:10:00,surfaced,1,-88.50915,28.913814
2015-Mar-02 22:10:00,surfaced,1,-88.519871,28.921603
2015-Mar-02 22:10:00,surfaced,1,-88.524264,28.924111
2015-Mar-02 22:10:00,surfaced,1,-88.530914,28.927459
2015-Mar-02 22:10:00,surfaced,1,-88.531842,28.924376
2015-Mar-02 22:00:01,surfaced,1,-88.532945,28.911091
2015-Mar-02 22:00:01,surfaced,1,-88.527414,28.925962
2015-Mar-02 22:00:01,water column,0,-88.350541,28.730851
2015-Mar-02 22:00:01,water column,0,-88.371666,28.727043
2015-Mar-02 22:00:01,water column,0,-88.353804,28.727031
2015-Mar-02 22:00:01,surfaced,1,-88.384784,28.805018
2015-Mar-02 22:00:01,surfaced,1,-88.438454,28.848576
2015-Mar-02 22:00:01,surfaced,1,-88.469502,28.874983
2015-Mar-02 22:00:01,surfaced,1,-88.48258,28.889288
2015-Mar-02 22:00:01,surfaced,1,-88.499054,28.902152
2015-Mar-02 22:00:01,surfaced,1,-88.505525,28.910399
2015-Mar-02 22:00:01,surfaced,1,-88.530989,28.931417
2015-Mar-02 22:10:00,surfaced,1,-88.500211,28.9034
2015-Mar-02 22:10:00,water column,0,-88.361702,28.729762
2015-Mar-02 22:10:00,water column,0,-88.3657,28.725151
2015-Mar-02 22:10:00,water column,0,-88.361685,28.723125
2015-Mar-02 22:10:00,surfaced,1,-88.362915,28.802742
2015-Mar-02 22:10:00,surfaced,1,-88.376274,28.803431
2015-Mar-02 22:10:00,surfaced,1,-88.405203,28.826058
2015-Mar-02 22:10:00,surfaced,1,-88.410833,28.823583
2015-Mar-02 22:10:00,surfaced,1,-88.419873,28.818192
2015-Mar-02 22:10:00,surfaced,1,-88.448626,28.853299
2015-Mar-02 22:00:01,surfaced,1,-88.489637,28.90581
2015-Mar-02 22:00:01,surfaced,1,-88.419786,28.819386
2015-Mar-02 22:00:01,water column,0,-88.3673,28.732858
2015-Mar-02 22:00:01,water column,0,-88.369712,28.727755
2015-Mar-02 22:00:01,water column,0,-88.370644,28.727489
2015-Mar-02 22:00:01,surfaced,1,-88.358964,28.769383
2015-Mar-02 22:00:01,surfaced,1,-88.362139,28.797085
2015-Mar-02 22:00:01,surfaced,1,-88.364665,28.796465
2015-Mar-02 22:00:01,surfaced,1,-88.366074,28.79549
2015-Mar-02 22:00:01,surfaced,1,-88.371086,28.798724
2015-Mar-02 22:00:01,surfaced,1,-88.380918,28.802602
2015-Mar-02 22:00:01,surfaced,1,-88.406422,28.838492
2015-Mar-02 22:10:00,surfaced,1,-88.375027,28.80199
2015-Mar-02 22:10:00,water column,0,-88.368028,28.738176
2015-Mar-02 22:10:00,water column,0,-88.375945,28.732676
2015-Mar-02 22:10:00,water column,0,-88.371831,28.735692
2015-Mar-02 22:10:00,surfaced,1,-88.367151,28.736716
2015-Mar-02 22:10:00,surfaced,1,-88.361056,28.765093
2015-Mar-02 22:10:00,surfaced,1,-88.362028,28.777741
2015-Mar-02 22:10:00,surfaced,1,-88.362368,28.78152
2015-Mar-02 22:10:00,surfaced,1,-88.363611,28.791704
2015-Mar-02 22:10:00,surfaced,1,-88.364253,28.795325
2015-Mar-02 22:10:00,surfaced,1,-88.362859,28.798514
2015-Mar-02 22:10:00,water column,0,-88.368961,28.742834
2015-Mar-02 22:10:00,water column,0,-88.372282,28.740869
2015-Mar-02 22:10:00,water column,0,-88.380006,28.735213
2015-Mar-02 22:10:00,surfaced,1,-88.369195,28.742137
2015-Mar-02 22:10:00,surfaced,1,-88.364822,28.750856
2015-Mar-02 22:10:00,surfaced,1,-88.364202,28.753026
2015-Mar-02 22:10:00,surfaced,1,-88.362347,28.763108
2015-Mar-02 22:10:00,surfaced,1,-88.362166,28.77336
2015-Mar-02 22:10:00,surfaced,1,-88.360105,28.770026
2015-Mar-02 22:10:00,water column,0,-88.370117,28.743834
2015-Mar-02 22:10:00,water column,0,-88.374269,28.741881
2015-Mar-02 22:10:00,water column,0,-88.376725,28.740899
2015-Mar-02 22:10:00,water column,0,-88.375883,28.74
2015-Mar-02 22:10:00,water column,0,-88.3761,28.73913
2015-Mar-02 22:10:00,surfaced,1,-88.371338,28.74195
2015-Mar-02 22:10:00,surfaced,1,-88.366516,28.746091
